,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Max Temp,Date
0,Ribeira Grande,38.52,-28.7,82,20,14.99,PT,64.4,1580061680
1,Hilo,19.73,-155.09,64,40,8.05,US,68.0,1580061606
2,Punta Arenas,-53.15,-70.92,54,20,31.09,CL,57.2,1580061600
3,Portland,45.52,-122.68,81,40,11.41,US,51.01,1580061426
4,Kapaa,22.08,-159.32,88,40,6.93,US,73.4,1580061431
5,Coahuayana Viejo,18.73,-103.68,53,75,6.13,MX,75.2,1580061780
6,Bulls,-40.17,175.38,82,0,1.99,NZ,66.0,1580061780
7,Torbay,47.67,-52.73,54,20,5.82,CA,36.0,1580061659
8,Hithadhoo,-0.6,73.08,82,99,10.02,MV,80.69,1580061666
9,Mataura,-46.19,168.86,91,70,1.36,NZ,53.01,1580061638
10,Bethel,41.37,-73.41,60,75,14.99,US,46.99,1580061685
11,Rikitea,-23.12,-134.97,79,68,14.5,PF,79.29,1580061644
12,Whitehorse,60.72,-135.05,76,90,3.36,CA,-6.0,1580061506
13,Avarua,-21.21,-159.78,88,100,11.41,CK,80.6,1580061648
14,Ushuaia,-54.8,-68.3,81,40,23.04,AR,48.2,1580061601
15,Ambilobe,-13.2,49.05,93,100,6.42,MG,75.38,1580061781
16,Kununurra,-15.77,128.73,88,64,5.82,AU,80.6,1580061726
17,Bluff,-46.6,168.33,91,44,4.65,NZ,53.01,1580061649
18,Ruyigi Province,-3.45,30.32,88,100,2.93,BI,67.41,1580061782
19,Mokrous,51.23,47.52,88,25,11.14,RU,21.2,1580061782
20,Sao Joao da Barra,-21.64,-41.05,65,75,8.05,BR,82.4,1580061666
21,Busselton,-33.65,115.33,37,0,9.4,AU,72.0,1580061638
22,Butaritari,3.07,172.79,73,97,13.18,KI,84.9,1580061636
23,Chui,-33.7,-53.46,51,33,6.49,UY,85.89,1580061643
24,Kashgar,39.45,75.98,53,40,2.24,CN,26.6,1580061783
25,Muli,2.92,73.57,75,82,10.63,MV,81.48,1580061783
26,Longyearbyen,78.22,15.64,84,0,2.24,SJ,-2.2,1580061678
27,Hobart,-42.88,147.33,44,90,8.05,AU,60.8,1580061626
28,Itambe,-15.24,-40.62,89,100,3.44,BR,72.48,1580061783
29,Cherskiy,68.75,161.3,94,100,1.23,RU,-17.61,1580061649
30,Katsuura,35.13,140.3,61,75,10.29,JP,44.6,1580061639
31,Puerto Ayora,-0.74,-90.35,65,75,5.82,EC,82.4,1580061663
32,Faanui,-16.48,-151.75,74,57,11.03,PF,82.44,1580061639
33,Sitka,57.05,-135.33,81,90,17.22,US,42.8,1580061656
34,Novoagansk,61.94,76.66,97,100,7.63,RU,-3.1,1580061784
35,Port Hedland,-20.32,118.57,89,0,8.05,AU,86.0,1580061643
36,Vaini,-21.2,-175.2,100,75,3.36,TO,75.2,1580061656
37,Mackay,-21.15,149.2,94,90,5.82,AU,78.01,1580061785
38,Sesvete,45.83,16.12,93,90,3.36,HR,37.99,1580061785
39,Belaya Gora,68.53,146.42,95,99,4.18,RU,-34.64,1580061667
40,East London,-33.02,27.91,49,97,24.16,ZA,68.0,1580061651
41,Severo-Kuril'sk,50.68,156.12,92,100,16.17,RU,18.34,1580061647
42,Thompson,55.74,-97.86,84,20,5.82,CA,1.4,1580061567
43,Bambous Virieux,-20.34,57.76,78,75,11.41,MU,78.8,1580061700
44,Saldanha,-33.01,17.94,40,0,14.99,ZA,68.0,1580061660
45,Mahebourg,-20.41,57.7,78,75,11.41,MU,78.8,1580061650
46,Henderson,36.04,-114.98,50,1,1.54,US,55.99,1580061514
47,Ust'-Omchug,61.15,149.63,97,100,8.23,RU,-20.4,1580061786
48,La Roche-sur-Yon,46.67,-1.43,93,75,11.41,FR,52.0,1580061786
49,Port Alfred,-33.59,26.89,77,93,11.01,ZA,64.99,1580061637
50,Casper,42.87,-106.31,59,1,18.34,US,43.0,1580061787
51,Faya,18.39,42.45,28,0,8.05,SA,55.4,1580061670
52,Coquimbo,-29.95,-71.34,73,20,14.99,CL,69.8,1580061658
53,Suhbaatar,50.23,106.21,81,60,2.84,MN,-0.53,1580061787
54,Berlevag,70.86,29.09,67,75,19.46,NO,21.2,1580061676
55,Peniche,39.36,-9.38,82,20,8.05,PT,57.99,1580061787
56,Miyako,39.64,141.95,63,0,5.77,JP,27.48,1580061788
57,San Policarpo,12.18,125.51,88,36,8.41,PH,78.13,1580061788
58,Chumikan,54.72,135.31,78,0,9.86,RU,-8.36,1580061788
59,Bengkulu,-3.8,102.27,88,100,3.36,ID,75.56,1580061645
60,Ilulissat,69.22,-51.1,60,100,10.29,GL,10.4,1580061788
61,Ambon,-3.7,128.18,76,83,3.74,ID,81.45,1580061595
62,Mar del Plata,-38.0,-57.56,39,96,11.41,AR,82.4,1580061395
63,Lushun,38.8,121.27,74,100,6.71,CN,28.4,1580061789
64,Mossamedes,-15.2,12.15,73,20,9.17,AO,77.0,1580061789
65,San Cristobal,7.77,-72.22,83,75,8.05,VE,77.0,1580061675
66,Smithers,54.78,-127.17,92,90,2.24,CA,24.8,1580061586
67,Hobyo,5.35,48.53,80,87,17.78,SO,79.16,1580061683
68,Adamantas,36.73,24.43,76,80,10.29,GR,57.2,1580061789
69,Dikson,73.51,80.55,96,99,2.57,RU,-3.95,1580061636
70,New Norfolk,-42.78,147.06,44,90,8.05,AU,60.8,1580061664
